property_type,price,size,location,rooms,floor,title,seller_type
2-комнатная квартира,25000000 ₸,60 м²,"Алматы р-н, Жамбыла 8",2,9/9,2-комнатная квартира · 60 м² · 9/9 этаж,Realtor
2-комнатная квартира,23500000 ₸,54.3 м²,"Алматы р-н, Кошкарбаева 27 — Нурмагамбетова Кошкарбаева",2,10/10,2-комнатная квартира · 54.3 м² · 10/10 этаж,Realtor
2-комнатная квартира,40900000 ₸,63.9 м²,"Ауэзовский р-н, мкр Жетысу-2",2,9/9,2-комнатная квартира · 63.9 м² · 9/9 этаж,Realtor
3-комнатная квартира,85000000 ₸,90 м²,"Бостандыкский р-н, Ходжанова 77 — Аль-Фараби",3,3/13,3-комнатная квартира · 90 м² · 3/13 этаж,Realtor
3-комнатная квартира,27900000 ₸,63 м²,"Алматы р-н, Жумекена Нажимеденова 19",3,9/9,3-комнатная квартира · 63 м² · 9/9 этаж,Realtor
2-комнатная квартира,28400000 ₸,42 м²,"Алматы р-н, Жумекен Нажимеденов 52а — А-426",2,7/9,2-комнатная квартира · 42 м² · 7/9 этаж,Realtor
1-комнатная квартира,29500000 ₸,43.8 м²,"Ауэзовский р-н, мкр Тастак-1, Райымбека",1,7/13,1-комнатная квартира · 43.8 м² · 7/13 этаж,Realtor
1-комнатная квартира,24999999 ₸,35.7 м²,"Алатауский р-н, Ырысты — Срочная продажа",1,4/9,1-комнатная квартира · 35.7 м² · 4/9 этаж,Realtor
2-комнатная квартира,28500000 ₸,48.7 м²,"Турксибский р-н, мкр Алтай-1, Майлина",2,7/9,2-комнатная квартира · 48.7 м² · 7/9 этаж,Realtor
3-комнатная квартира,45000000 ₸,77 м²,"Алатауский р-н, мкр Зердели, Аркалык 137  кв 1/156",3,1/9,3-комнатная квартира · 77 м² · 1/9 этаж,Realtor
2-комнатная квартира,35800000 ₸,58.8 м²,"Алатауский р-н, мкр Дарабоз",2,5/12,2-комнатная квартира · 58.8 м² · 5/12 этаж,Realtor
2-комнатная квартира,46000000 ₸,81.9 м²,"Есильский р-н, Мәңгілік Ел 50 — Улы Дала",2,7/14,2-комнатная квартира · 81.9 м² · 7/14 этаж,Realtor
3-комнатная квартира,51000000 ₸,75 м²,"Алматы р-н, Кошкарбаева 13 — Мечеть Хазрет Султан",3,9/15,3-комнатная квартира · 75 м² · 9/15 этаж,Realtor
2-комнатная квартира,23900000 ₸,44.6 м²,"Алматы р-н, Кошкарбаева 66/1",2,2/13,2-комнатная квартира · 44.6 м² · 2/13 этаж,Realtor
2-комнатная квартира,40000000 ₸,61 м²,"Алмалинский р-н, Брусиловского 159 — Құлымбет",2,6/18,2-комнатная квартира · 61 м² · 6/18 этаж,Realtor
2-комнатная квартира,30000000 ₸,54 м²,"Сарыарка р-н, Караменде би Шакаулы 3/1",2,1/12,2-комнатная квартира · 54 м² · 1/12 этаж,Realtor
2-комнатная квартира,40000000 ₸,60 м²,"Есильский р-н, Сыганак 54",2,6/14,2-комнатная квартира · 60 м² · 6/14 этаж,Realtor
1-комнатная квартира,13000000 ₸,28 м²,"Сарыарка р-н, Тлендиева 15/4 — ТЦ Рахмет , ТЦ Коктал , Астыкжан , камкор",1,17/17,1-комнатная квартира · 28 м² · 17/17 этаж,Realtor
1-комнатная квартира,21950000 ₸,45 м²,"Турксибский р-н, мкр Кайрат, Сыбызгы",1,6/8,1-комнатная квартира · 45 м² · 6/8 этаж,Realtor
2-комнатная квартира,21500000 ₸,40 м²,"Есильский р-н, Е-20 10 — Молдагалиева 10",2,3/9,2-комнатная квартира · 40 м² · 3/9 этаж,Realtor
1-комнатная квартира,24900000 ₸,47 м²,"Алатауский р-н, Касыма Шарипова 206/9 — Сайна - Шарипова",1,7/7,1-комнатная квартира · 47 м² · 7/7 этаж,Realtor
2-комнатная квартира,18000000 ₸,70 м²,"мкр. Зачаганск пгт, Жангир хана 59/3 — Ост.Молодежный. Схи.Казгидромет",2,2/6,2-комнатная квартира · 70 м² · 2/6 этаж,Other
2-комнатная квартира,33900000 ₸,47 м²,"Есильский р-н, Е-15 13, 13/1",2,7/9,2-комнатная квартира · 47 м² · 7/9 этаж,Other
4-комнатная квартира,90000000 ₸,136 м²,"Бостандыкский р-н, Абиша Кекилбайулы 264",4,19/25,4-комнатная квартира · 136 м² · 19/25 этаж,Other
3-комнатная квартира,20000000 ₸,68.8 м²,"26-й мкр 8 — Школа нр 14, магазин ""Сара""",3,2/5,3-комнатная квартира · 68.8 м² · 2/5 этаж,Other
3-комнатная квартира,35700000 ₸,58.6 м²,"Бостандыкский р-н, мкр Орбита-3 33",3,5/5,3-комнатная квартира · 58.6 м² · 5/5 этаж,Other
5-комнатная квартира,130000000 ₸,250 м²,Студенческая 40а — Абая,5,5/11,5-комнатная квартира · 250 м² · 5/11 этаж,Other
2-комнатная квартира,26000000 ₸,65 м²,"Казыбек би р-н, мкр Юго-Восток, Шахтеров 31 а",2,6/9,2-комнатная квартира · 65 м² · 6/9 этаж,Other
1-комнатная квартира,18000000 ₸,35 м²,"Алматы р-н, Нажимеденова 37 — Нурлы жол поможем с ипотекой",1,3/7,1-комнатная квартира · 35 м² · 3/7 этаж,Other
4-комнатная квартира,87500000 ₸,176 м²,17-й мкр 113,4,10/13,4-комнатная квартира · 176 м² · 10/13 этаж,Other
3-комнатная квартира,41000000 ₸,70 м²,"Алматы р-н, Ахмет Байтурсынулы 18 — Рядом школа Бином",3,12/13,3-комнатная квартира · 70 м² · 12/13 этаж,Other
4-комнатная квартира,150000000 ₸,176 м²,"Алматы р-н, Қошқарбаева 8",4,18/25,4-комнатная квартира · 176 м² · 18/25 этаж,Other
4-комнатная квартира,73500000 ₸,210 м²,"Казыбек би р-н, Ботаническая 12/11",4,3/5,4-комнатная квартира · 210 м² · 3/5 этаж,Other
2-комнатная квартира,14000000 ₸,48.9 м²,27-й мкр 31 — 9этажный дом,2,2/9,2-комнатная квартира · 48.9 м² · 2/9 этаж,Other
4-комнатная квартира,55000000 ₸,110 м²,"Алматы р-н, Рыскулбекова 7",4,1/9,4-комнатная квартира · 110 м² · 1/9 этаж,Other
1-комнатная квартира,31500000 ₸,45 м²,"Алмалинский р-н, Райымбека 206к",1,8/9,1-комнатная квартира · 45 м² · 8/9 этаж,Other
2-комнатная квартира,29900000 ₸,39 м²,"Есильский р-н, Е-15 13, 13/1 — Хан Шатыр",2,3/9,2-комнатная квартира · 39 м² · 3/9 этаж,Other
1-комнатная квартира,36500000 ₸,34.6 м²,"Медеуский р-н, Шашкина 32 — Аль-фараби - Шашкина",1,5/5,1-комнатная квартира · 34.6 м² · 5/5 этаж,Other
3-комнатная квартира,50000000 ₸,70 м²,"Ауэзовский р-н, мкр Мамыр-2 13",3,2/5,3-комнатная квартира · 70 м² · 2/5 этаж,Other
4-комнатная квартира,55000000 ₸,110 м²,"Алматы р-н, Рыскулбекова 7",4,1/9,4-комнатная квартира · 110 м² · 1/9 этаж,Other
1-комнатная квартира,31500000 ₸,45 м²,"Алмалинский р-н, Райымбека 206к",1,8/9,1-комнатная квартира · 45 м² · 8/9 этаж,Other
2-комнатная квартира,29900000 ₸,39 м²,"Есильский р-н, Е-15 13, 13/1 — Хан Шатыр",2,3/9,2-комнатная квартира · 39 м² · 3/9 этаж,Other
1-комнатная квартира,36500000 ₸,34.6 м²,"Медеуский р-н, Шашкина 32 — Аль-фараби - Шашкина",1,5/5,1-комнатная квартира · 34.6 м² · 5/5 этаж,Other
3-комнатная квартира,50000000 ₸,70 м²,"Ауэзовский р-н, мкр Мамыр-2 13",3,2/5,3-комнатная квартира · 70 м² · 2/5 этаж,Other
2-комнатная квартира,33000000 ₸,65 м²,"Сарайшык р-н, Калибек Куанышбаев, 9/1, 9/2, 9/3 — Мечеть Хазрет-Султан поможем с ипотекой!",2,19/24,2-комнатная квартира · 65 м² · 19/24 этаж,Other
3-комнатная квартира,42500000 ₸,60 м²,"Бостандыкский р-н, Шашкина — Шашкина Аль-Фараби",3,2/4,3-комнатная квартира · 60 м² · 2/4 этаж,Realtor
3-комнатная квартира,100000000 ₸,121 м²,"Наурызбайский р-н, Аскарова Асанбая",3,1/9,3-комнатная квартира · 121 м² · 1/9 этаж,Realtor
4-комнатная квартира,175000000 ₸,226 м²,"Наурызбайский р-н, мкр Рахат, Мкр.Рахат, ул.Культобе уч.№1, уч№24",4,1/3,4-комнатная квартира · 226 м² · 1/3 этаж,Realtor
2-комнатная квартира,35500000 ₸,63.4 м²,"Жетысуский р-н, мкр Айнабулак-2, Жумабаева — ТРЦ Белес и Султан",2,7/10,2-комнатная квартира · 63.4 м² · 7/10 этаж,Realtor
1-комнатная квартира,29000000 ₸,47.7 м²,"Ауэзовский р-н, мкр Аксай-1А — Ул Яссауи (между Толе би и Райымбека",1,7/9,1-комнатная квартира · 47.7 м² · 7/9 этаж,Realtor
3-комнатная квартира,80000000 ₸,90 м²,"Алмалинский р-н, Толе би — Жарокова-Толе би",3,4/12,3-комнатная квартира · 90 м² · 4/12 этаж,Realtor
2-комнатная квартира,21500000 ₸,52 м²,"р-н Байконур, Дукен улы",2,3/10,2-комнатная квартира · 52 м² · 3/10 этаж,Realtor
1-комнатная квартира,19800000 ₸,52.7 м²,"р-н Байконур, Богенбай батыра 54 — Республика-Богенбая",1,19/19,1-комнатная квартира · 52.7 м² · 19/19 этаж,Realtor
3-комнатная квартира,73000000 ₸,90 м²,"Медеуский р-н, Калдаякова — Калдаякова - Карасай батыра",3,2/5,3-комнатная квартира · 90 м² · 2/5 этаж,Realtor
2-комнатная квартира,33000000 ₸,48 м²,"Нура р-н, Туран 55/14",2,2/14,2-комнатная квартира · 48 м² · 2/14 этаж,Realtor
1-комнатная квартира,45500000 ₸,60.8 м²,"Ауэзовский р-н, Навои",1,9/16,1-комнатная квартира · 60.8 м² · 9/16 этаж,Realtor
3-комнатная квартира,34000000 ₸,86 м²,"Алматы р-н, Култобе 11",3,8/9,3-комнатная квартира · 86 м² · 8/9 этаж,Realtor
3-комнатная квартира,46000000 ₸,96.27 м²,"Нура р-н, Е-34 4",3,3/9,3-комнатная квартира · 96.27 м² · 3/9 этаж,Realtor
2-комнатная квартира,37990000 ₸,56 м²,"Есильский р-н, Бухар жырау 36/1 — Бухар жырау",2,6/8,2-комнатная квартира · 56 м² · 6/8 этаж,Other
3-комнатная квартира,73000000 ₸,90 м²,"Медеуский р-н, Калдаякова — Калдаякова - Карасай батыра",3,2/5,3-комнатная квартира · 90 м² · 2/5 этаж,Realtor
2-комнатная квартира,33000000 ₸,48 м²,"Нура р-н, Туран 55/14",2,2/14,2-комнатная квартира · 48 м² · 2/14 этаж,Realtor
1-комнатная квартира,45500000 ₸,60.8 м²,"Ауэзовский р-н, Навои",1,9/16,1-комнатная квартира · 60.8 м² · 9/16 этаж,Realtor
3-комнатная квартира,34000000 ₸,86 м²,"Алматы р-н, Култобе 11",3,8/9,3-комнатная квартира · 86 м² · 8/9 этаж,Realtor
3-комнатная квартира,46000000 ₸,96.27 м²,"Нура р-н, Е-34 4",3,3/9,3-комнатная квартира · 96.27 м² · 3/9 этаж,Realtor
2-комнатная квартира,37990000 ₸,56 м²,"Есильский р-н, Бухар жырау 36/1 — Бухар жырау",2,6/8,2-комнатная квартира · 56 м² · 6/8 этаж,Other
3-комнатная квартира,58000000 ₸,79 м²,"Есильский р-н, Туран 59/2 — Улы Дала",3,3/13,3-комнатная квартира · 79 м² · 3/13 этаж,Other
3-комнатная квартира,57500000 ₸,87.8 м²,"Сарайшык р-н, Шамши Калдаякова 17 — Сарыкол",3,12/12,3-комнатная квартира · 87.8 м² · 12/12 этаж,Realtor
2-комнатная квартира,22500000 ₸,39 м²,"Нура р-н, Туран 71 — Назарбаев университет",2,6/15,2-комнатная квартира · 39 м² · 6/15 этаж,Realtor
2-комнатная квартира,29500000 ₸,45 м²,"Турксибский р-н, мкр Кайрат, Тараз 1/1",2,3/5,2-комнатная квартира · 45 м² · 3/5 этаж,Realtor
1-комнатная квартира,21500000 ₸,40 м²,"Каратауский р-н, мкр Астана  72 — Возле мечеть",1,6/9,1-комнатная квартира · 40 м² · 6/9 этаж,Other
4-комнатная квартира,30000000 ₸,120 м²,Торегали Кадыров 55а — 7 мкр 3 дом,4,1/6,4-комнатная квартира · 120 м² · 1/6 этаж,Other
3-комнатная квартира,75000000 ₸,107.9 м²,"Наурызбайский р-н, Сейдимбек 100/2 — Аскарова-Сайна",3,4/4,3-комнатная квартира · 107.9 м² · 4/4 этаж,Realtor
1-комнатная квартира,24900000 ₸,44 м²,"Алатауский р-н, Северное Кольцо 93/2",1,5/9,1-комнатная квартира · 44 м² · 5/9 этаж,Realtor
2-комнатная квартира,58888888 ₸,68 м²,"Алматы р-н, Тыныбыева",2,10/10,2-комнатная квартира · 68 м² · 10/10 этаж,Other
2-комнатная квартира,30999000 ₸,41 м²,"Нура р-н, Е-36 4 — Сыганак",2,12/18,2-комнатная квартира · 41 м² · 12/18 этаж,Other
2-комнатная квартира,45000000 ₸,70 м²,"Есильский р-н, Кабанбай батыра 48",2,12/15,2-комнатная квартира · 70 м² · 12/15 этаж,Other
3-комнатная квартира,45000000 ₸,62 м²,"Бостандыкский р-н, мкр Коктем-1 26",3,1/4,3-комнатная квартира · 62 м² · 1/4 этаж,Other
3-комнатная квартира,41000000 ₸,108 м²,"Алматы р-н, Мусрепова 7/1 — Абылай хана",3,7/9,3-комнатная квартира · 108 м² · 7/9 этаж,Realtor
2-комнатная квартира,37500000 ₸,50.2 м²,"Ауэзовский р-н, Тастак-1 м-н 348/1",2,10/12,2-комнатная квартира · 50.2 м² · 10/12 этаж,Realtor
1-комнатная квартира,26000000 ₸,34.5 м²,"Ауэзовский р-н, Кабдолова 14 — Алтынсарина",1,2/13,1-комнатная квартира · 34.5 м² · 2/13 этаж,Realtor
2-комнатная квартира,70700000 ₸,76.1 м²,"Алмалинский р-н, Торекулова 91 — Сейфуллина",2,3/12,2-комнатная квартира · 76.1 м² · 3/12 этаж,Realtor
3-комнатная квартира,44000000 ₸,78 м²,"Ауэзовский р-н, Райымбека — Райымбека Отеген Батыра",3,1/13,3-комнатная квартира · 78 м² · 1/13 этаж,Realtor
3-комнатная квартира,44000000 ₸,132.3 м²,"Алматы р-н, Пушкина 6 — Набережная",3,5/6,3-комнатная квартира · 132.3 м² · 5/6 этаж,Realtor
2-комнатная квартира,33500000 ₸,63.4 м²,"Сарыарка р-н, Косшыгулулы 7",2,13/14,2-комнатная квартира · 63.4 м² · 13/14 этаж,Realtor
2-комнатная квартира,19000000 ₸,43 м²,"Алматы р-н, Жирентаева 13 — Петрова",2,1/5,2-комнатная квартира · 43 м² · 1/5 этаж,Realtor
3-комнатная квартира,54000000 ₸,90 м²,"Турксибский р-н, мкр Кайрат 153/49 — Бухтурма и кулджинский тракт",3,3/10,3-комнатная квартира · 90 м² · 3/10 этаж,Realtor
4-комнатная квартира,25000000 ₸,63 м²,"р-н Байконур, Бараева 10/6",4,5/5,4-комнатная квартира · 63 м² · 5/5 этаж,Realtor
1-комнатная квартира,22900000 ₸,39 м²,"Алматы р-н, Нажимединова — Президентский парк, Мечеть Хазрет Султан",1,7/10,1-комнатная квартира · 39 м² · 7/10 этаж,Realtor
4-комнатная квартира,53500000 ₸,109 м²,"Есильский р-н, Кайыма Мухамедханова 17 — Хан Шатыр",4,10/18,4-комнатная квартира · 109 м² · 10/18 этаж,Realtor
1-комнатная квартира,29500000 ₸,36.6 м²,"Ауэзовский р-н, Мкр Аксай, Б. Момышулы 25",1,7/10,1-комнатная квартира · 36.6 м² · 7/10 этаж,Realtor
3-комнатная квартира,53000000 ₸,77 м²,"Алмалинский р-н, Брусиловского 167 — Шакарима",3,9/19,3-комнатная квартира · 77 м² · 9/19 этаж,Realtor
1-комнатная квартира,25500000 ₸,40 м²,"Турксибский р-н, мкр Жас Канат, Шемякина 1/4",1,8/9,1-комнатная квартира · 40 м² · 8/9 этаж,Realtor
4-комнатная квартира,154603000 ₸,195.7 м²,"Талгарский район, поселок Каменное плато, территория PARK RESORT «ВОСЕМЬ ОЗЕР»",4,1/1,4-комнатная квартира · 195.7 м² · 1/1 этаж,Developer
4-комнатная квартира,154603000 ₸,195.7 м²,"Талгарский район, поселок Каменное плато, территория PARK RESORT «ВОСЕМЬ ОЗЕР»",4,1/1,4-комнатная квартира · 195.7 м² · 1/1 этаж,Developer
2-комнатная квартира,50000000 ₸,85 м²,"Аль-Фарабийский р-н, Толе би 12в — Казыбек би",2,2/12,2-комнатная квартира · 85 м² · 2/12 этаж,Other
3-комнатная квартира,35000000 ₸,80 м²,"Алматы р-н, Рыскулбекова 16 — Район 7 поликлиники",3,4/10,3-комнатная квартира · 80 м² · 4/10 этаж,Realtor
1-комнатная квартира,27500000 ₸,39 м²,"Есильский р-н, Хусейн Бен Талал 28 — Мангилик Ел",1,3/9,1-комнатная квартира · 39 м² · 3/9 этаж,Realtor
1-комнатная квартира,23800000 ₸,35 м²,"Наурызбайский р-н, мкр Шугыла, Райымбека — Жуалы",1,5/9,1-комнатная квартира · 35 м² · 5/9 этаж,Realtor
1-комнатная квартира,16000000 ₸,40 м²,"Сарыарка р-н, Бейбарыс Султан 11 — Магнум ,Базилик ,Аспан ,Бала бала",1,2/12,1-комнатная квартира · 40 м² · 2/12 этаж,Realtor
1-комнатная квартира,39500000 ₸,41.1 м²,"Медеуский р-н, Каирбекова — Жибек жолы",1,1/4,1-комнатная квартира · 41.1 м² · 1/4 этаж,Realtor
5-комнатная квартира,121900000 ₸,151.5 м²,"Есильский р-н, Мангилик Ел 82 — E 497",5,7/8,5-комнатная квартира · 151.5 м² · 7/8 этаж,Realtor
3-комнатная квартира,83800000 ₸,131 м²,"Алматы р-н, Шамши Калдаяков 2/1",3,6/7,3-комнатная квартира · 131 м² · 6/7 этаж,Realtor
2-комнатная квартира,36000000 ₸,74 м²,"Алматы р-н, Тауелсиздик 34/1",2,3/17,2-комнатная квартира · 74 м² · 3/17 этаж,Realtor
1-комнатная квартира,32000000 ₸,50.52 м²,"Алатауский р-н, Бауыржана Момышулы 11/1",1,2,1-комнатная квартира · 50.52 м² · 2 этаж,Realtor
3-комнатная квартира,40000000 ₸,64 м²,"Алмалинский р-н, мкр Тастак-2",3,3/5,3-комнатная квартира · 64 м² · 3/5 этаж,Realtor
2-комнатная квартира,24000000 ₸,41.3 м²,"Есильский р-н, Е 652 20",2,4/9,2-комнатная квартира · 41.3 м² · 4/9 этаж,Realtor
3-комнатная квартира,40000000 ₸,70 м²,"Нура р-н, Туран 65а — Small",3,11/14,3-комнатная квартира · 70 м² · 11/14 этаж,Realtor
1-комнатная квартира,4200000 ₸,20 м²,"мкр Школьник, Ихсанова 44/1 — Назарбаева/Ихсанова",1,2/2,1-комнатная квартира · 20 м² · 2/2 этаж,Other
4-комнатная квартира,93000000 ₸,172 м²,"Есильский р-н, Сарыарка 17 — угол Акмешит - Сыганак",4,7/9,4-комнатная квартира · 172 м² · 7/9 этаж,Other
1-комнатная квартира,22000000 ₸,42 м²,"Жетысуский р-н, мкр Кокжиек",1,6/6,1-комнатная квартира · 42 м² · 6/6 этаж,Realtor
3-комнатная квартира,38000000 ₸,68 м²,"Наурызбайский р-н, мкр Калкаман-2 8/3",3,10/10,3-комнатная квартира · 68 м² · 10/10 этаж,Realtor
2-комнатная квартира,37500000 ₸,52.5 м²,"Бостандыкский р-н, Жандосова 94А",2,12/15,2-комнатная квартира · 52.5 м² · 12/15 этаж,Realtor
3-комнатная квартира,34000000 ₸,69.2 м²,"Турксибский р-н, мкр 13-й военный городок, Мкр 13-й военный городок",3,4/5,3-комнатная квартира · 69.2 м² · 4/5 этаж,Realtor
2-комнатная квартира,38000000 ₸,70 м²,"Турксибский р-н, Сейфуллина",2,2/10,2-комнатная квартира · 70 м² · 2/10 этаж,Realtor
3-комнатная квартира,48000000 ₸,78.6 м²,"Алмалинский р-н, Брусиловского",3,9/19,3-комнатная квартира · 78.6 м² · 9/19 этаж,Realtor
1-комнатная квартира,19000000 ₸,38 м²,"Наурызбайский р-н, мкр Шугыла, Алатау 12а/1 — Толе би",1,8/9,1-комнатная квартира · 38 м² · 8/9 этаж,Realtor
3-комнатная квартира,81000000 ₸,102 м²,"Бостандыкский р-н, Тургут Озала 237",3,13/22,3-комнатная квартира · 102 м² · 13/22 этаж,Realtor
1-комнатная квартира,25500000 ₸,38 м²,"Есильский р-н, Улы Дала 4 — ЖК Ново Сити",1,13/14,1-комнатная квартира · 38 м² · 13/14 этаж,Realtor
2-комнатная квартира,35000000 ₸,52.1 м²,"Ауэзовский р-н, мкр Аксай-3Б 8",2,5/5,2-комнатная квартира · 52.1 м² · 5/5 этаж,Realtor
3-комнатная квартира,76000000 ₸,91 м²,"Бостандыкский р-н, Сатпаева 90/52 — СРОЧНО-ТОРГ-ИПОТЕКА",3,1/16,3-комнатная квартира · 91 м² · 1/16 этаж,Realtor
2-комнатная квартира,40000000 ₸,60 м²,"Нура р-н, Чингиз Айтматов 40/2 — Мухамедханова",2,3/7,2-комнатная квартира · 60 м² · 3/7 этаж,Realtor
1-комнатная квартира,31000000 ₸,38.7 м²,"Алмалинский р-н, Карасай Батыра 345 — Толе би- Варламова",1,10/10,1-комнатная квартира · 38.7 м² · 10/10 этаж,Realtor
1-комнатная квартира,35000000 ₸,50 м²,"Медеуский р-н, Халиулина 140/5",1,2/6,1-комнатная квартира · 50 м² · 2/6 этаж,Realtor
3-комнатная квартира,42000000 ₸,77.8 м²,"Алатауский р-н, мкр Саялы",3,1/5,3-комнатная квартира · 77.8 м² · 1/5 этаж,Realtor
3-комнатная квартира,55500000 ₸,70 м²,"Бостандыкский р-н, мкр Коктем-1 4 — Шолом-Алейхем  Маркова",3,5/5,3-комнатная квартира · 70 м² · 5/5 этаж,Realtor
2-комнатная квартира,22000000 ₸,56.2 м²,"Алматы р-н, Кошкарбаева 44/2",2,7/9,2-комнатная квартира · 56.2 м² · 7/9 этаж,Realtor
1-комнатная квартира,22500000 ₸,43 м²,"Алатауский р-н, мкр Коккайнар, 20-й микрорайон 46 к19 — Мик Зердели",1,5/5,1-комнатная квартира · 43 м² · 5/5 этаж,Realtor
1-комнатная квартира,21500000 ₸,38.6 м²,"Нура р-н, Жубан Молдагалиев 3",1,10/12,1-комнатная квартира · 38.6 м² · 10/12 этаж,Realtor
4-комнатная квартира,57000000 ₸,90 м²,Баганашыл 138/4 — Жангир Хана,4,2/3,4-комнатная квартира · 90 м² · 2/3 этаж,Realtor
3-комнатная квартира,62000000 ₸,70 м²,"Медеуский р-н, Тянь-Шанская 9г",3,8/10,3-комнатная квартира · 70 м² · 8/10 этаж,Realtor
2-комнатная квартира,23000000 ₸,47.3 м²,"Есильский р-н, Кургальжинское шоссе 29а",2,5/9,2-комнатная квартира · 47.3 м² · 5/9 этаж,Realtor
3-комнатная квартира,31500000 ₸,65 м²,"Турксибский р-н, мкр 13-й военный городок, Мкр 13-й военный городок 39 — Военная полеклиника",3,2/2,3-комнатная квартира · 65 м² · 2/2 этаж,Realtor
1-комнатная квартира,24000000 ₸,39.6 м²,"Турксибский р-н, мкр Жас Канат",1,4/5,1-комнатная квартира · 39.6 м² · 4/5 этаж,Realtor
1-комнатная квартира,14999999 ₸,44.6 м²,"Сарыарка р-н, Ауезова 30",1,4/4,1-комнатная квартира · 44.6 м² · 4/4 этаж,Realtor
3-комнатная квартира,50000000 ₸,89.6 м²,"Наурызбайский р-н, мкр Шугыла, Жунисова",3,9/10,3-комнатная квартира · 89.6 м² · 9/10 этаж,Realtor
2-комнатная квартира,39000000 ₸,49.7 м²,"Ауэзовский р-н, Жандосова 140",2,11/16,2-комнатная квартира · 49.7 м² · 11/16 этаж,Realtor
3-комнатная квартира,130000000 ₸,114 м²,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2",3,3/5,3-комнатная квартира · 114 м² · 3/5 этаж,Realtor
2-комнатная квартира,22500000 ₸,58 м²,"мкр Астана, Сырым датова 32/2 — Площадь Президента",2,4/18,2-комнатная квартира · 58 м² · 4/18 этаж,Other
5-комнатная квартира,36900000 ₸,128.6 м²,27-й мкр 38 — Торговый центр Байтерек,5,3/5,5-комнатная квартира · 128.6 м² · 3/5 этаж,Other
3-комнатная квартира,15500000 ₸,48.6 м²,Конаева 20 — Абылай Хана,3,2/2,3-комнатная квартира · 48.6 м² · 2/2 этаж,Other
2-комнатная квартира,47000000 ₸,72 м²,"Абайский р-н, мкр Кайтпас 2, Сырым батыра — Толеметова",2,7/15,2-комнатная квартира · 72 м² · 7/15 этаж,Other
2-комнатная квартира,33700000 ₸,41 м²,"Нура р-н, Хусейн бен Талал 30 — Хусейн бен Талал",2,11/14,2-комнатная квартира · 41 м² · 11/14 этаж,Other
1-комнатная квартира,13500000 ₸,58.1 м²,13-й мкр 5б,1,9/9,1-комнатная квартира · 58.1 м² · 9/9 этаж,Other
2-комнатная квартира,23700000 ₸,70 м²,"Алматы р-н, Абылай хана 5/1 — Набережная, гребной канал , ЕНУ",2,9/10,2-комнатная квартира · 70 м² · 9/10 этаж,Other
2-комнатная квартира,29500000 ₸,56.2 м²,"Нура р-н, Е 15 — на пересечении ул.Сыганак и Ч.Айтматова,недалеко ТД Тумар",2,3/8,2-комнатная квартира · 56.2 м² · 3/8 этаж,Other
3-комнатная квартира,107000000 ₸,108 м²,"Есильский р-н, Сыганак 17",3,13/19,3-комнатная квартира · 108 м² · 13/19 этаж,Other
2-комнатная квартира,13000000 ₸,44 м²,Ауельбекова 53 — Университет Шокана Валиханова,2,1/5,2-комнатная квартира · 44 м² · 1/5 этаж,Other
3-комнатная квартира,41000000 ₸,85 м²,"Каратауский р-н, мкр Нурсат 94 — 80 школа",3,2/5,3-комнатная квартира · 85 м² · 2/5 этаж,Other
3-комнатная квартира,125000000 ₸,98 м²,"Медеуский р-н, Бр.Абдуллиных 43 — Чуть выше ул. Гоголя",3,3/5,3-комнатная квартира · 98 м² · 3/5 этаж,Other
3-комнатная квартира,28500000 ₸,63 м²,Казахстанской правды 120 — Жумабаева-Абая,3,5/5,3-комнатная квартира · 63 м² · 5/5 этаж,Other
2-комнатная квартира,58000000 ₸,64 м²,"Бостандыкский р-н, Жарокова 167 — Сатпаева",2,2/5,2-комнатная квартира · 64 м² · 2/5 этаж,Other
1-комнатная квартира,9200000 ₸,34 м²,4микр 4,1,5/5,1-комнатная квартира · 34 м² · 5/5 этаж,Other
3-комнатная квартира,63000000 ₸,107 м²,"Наурызбайский р-н, мкр Таусамалы 1",3,5/6,3-комнатная квартира · 107 м² · 5/6 этаж,Other
2-комнатная квартира,34000000 ₸,41.5 м²,"Есильский р-н, Бұқар Жырау 27",2,5/12,2-комнатная квартира · 41.5 м² · 5/12 этаж,Other
3-комнатная квартира,42800000 ₸,54 м²,"Медеуский р-н, мкр Думан-2, мкрн Думан-2 64",3,4/9,3-комнатная квартира · 54 м² · 4/9 этаж,Other
4-комнатная квартира,210000000 ₸,170 м²,"Сарайшык р-н, Калдаякова 4",4,4/7,4-комнатная квартира · 170 м² · 4/7 этаж,Other
3-комнатная квартира,37000000 ₸,145 м²,Молдагуловой 58,3,6/10,3-комнатная квартира · 145 м² · 6/10 этаж,Other
1-комнатная квартира,32500000 ₸,40 м²,"Каратауский р-н, мкр Нурсат 2, Байтерекова 12",1,3/16,1-комнатная квартира · 40 м² · 3/16 этаж,Other
2-комнатная квартира,22400000 ₸,40 м²,"Алматы р-н, Сафуан Шаймерденов 4/1 — Нажимеденова",2,7/16,2-комнатная квартира · 40 м² · 7/16 этаж,Other
2-комнатная квартира,30000000 ₸,49.7 м²,"Алатауский р-н, мкр Нуркент, Б. Момышулы",2,1/9,2-комнатная квартира · 49.7 м² · 1/9 этаж,Realtor
