property_type,price,size,location,rooms,floor,title,seller_type
3-комнатная квартира,31900000 ₸,59 м²,"Есильский р-н, Керей Жанибек 9",3,8/9,3-комнатная квартира · 59 м² · 8/9 этаж,Other
1-комнатная квартира,16000000 ₸,37 м²,"Аль-Фарабийский р-н, 17-й микрорайон, 17-й микрорайон 9а — Дом находится за магазином Магнум",1,2/5,1-комнатная квартира · 37 м² · 2/5 этаж,Other
2-комнатная квартира,29800000 ₸,43 м²,"Нура р-н, Сыганак 24",2,6/12,2-комнатная квартира · 43 м² · 6/12 этаж,Other
3-комнатная квартира,16000000 ₸,48 м²,Муса Жалиля 4,3,2/5,3-комнатная квартира · 48 м² · 2/5 этаж,Other
2-комнатная квартира,46000000 ₸,57 м²,"Алматы р-н, Шамши Калдаякова 6",2,8/9,2-комнатная квартира · 57 м² · 8/9 этаж,Other
2-комнатная квартира,30000000 ₸,43.7 м²,"Ауэзовский р-н, мкр №9, Шаляпина 24 — Саина",2,4/4,2-комнатная квартира · 43.7 м² · 4/4 этаж,Other
3-комнатная квартира,33000000 ₸,67 м²,"Жетысуский р-н, мкр Кемел (Первомайское) 40а — Есимхана 40 а",3,2/5,3-комнатная квартира · 67 м² · 2/5 этаж,Other
1-комнатная квартира,13000000 ₸,35.4 м²,Ауэзова 112а — Сорокина,1,2/5,1-комнатная квартира · 35.4 м² · 2/5 этаж,Other
1-комнатная квартира,23000000 ₸,31 м²,Кульджинский тракт 156/5 — Кульджинский тракт. Новый Апорт Молл,1,8/12,1-комнатная квартира · 31 м² · 8/12 этаж,Other
2-комнатная квартира,23000000 ₸,52.6 м²,"Аль-Фарабийский р-н, Байтурсынова 90 — Байтурсынова-Рыскулова",2,3/5,2-комнатная квартира · 52.6 м² · 3/5 этаж,Other
1-комнатная квартира,11000000 ₸,25 м²,"Алматы р-н, Манаса 20/2",1,3/5,1-комнатная квартира · 25 м² · 3/5 этаж,Other
2-комнатная квартира,14500000 ₸,48 м²,Ломаносова 24 — Нородная,2,5/5,2-комнатная квартира · 48 м² · 5/5 этаж,Other
3-комнатная квартира,45000000 ₸,90 м²,"мкр Жилгородок, Шарипова 26а 2",3,3/8,3-комнатная квартира · 90 м² · 3/8 этаж,Other
2-комнатная квартира,35000000 ₸,54 м²,Аэропортная 62,2,6/9,2-комнатная квартира · 54 м² · 6/9 этаж,Other
3-комнатная квартира,35500000 ₸,68 м²,"Сарайшык р-н, Нажимеденова — Азербаева",3,8/9,3-комнатная квартира · 68 м² · 8/9 этаж,Other
2-комнатная квартира,13000000 ₸,50 м²,8-й мкр 8,2,5/7,2-комнатная квартира · 50 м² · 5/7 этаж,Other
1-комнатная квартира,9700000 ₸,32 м²,"мкр Акбулым, Мкр самал 31 — Сейфулина Бауржан Момышұлы",1,5/5,1-комнатная квартира · 32 м² · 5/5 этаж,Other
3-комнатная квартира,80000000 ₸,88 м²,"14-й мкр, 14 микрарайон 99 — Набережная",3,4/4,3-комнатная квартира · 88 м² · 4/4 этаж,Other
1-комнатная квартира,9000000 ₸,32 м²,"мкр Жетысу, Жетысу 27",1,1/4,1-комнатная квартира · 32 м² · 1/4 этаж,Other
2-комнатная квартира,12000000 ₸,46 м²,Лачугина 5,2,2/4,2-комнатная квартира · 46 м² · 2/4 этаж,Other
1-комнатная квартира,17900000 ₸,30 м²,Теплый пляж — Рядом Rixos,1,9/9,1-комнатная квартира · 30 м² · 9/9 этаж,Other
2-комнатная квартира,15500000 ₸,42 м²,"Сарыарка р-н, маскеу — женис",2,3/4,2-комнатная квартира · 42 м² · 3/4 этаж,Other
3-комнатная квартира,76000000 ₸,90 м²,"Есильский р-н, А. Бокейханова",3,9/10,3-комнатная квартира · 90 м² · 9/10 этаж,Other
3-комнатная квартира,50900000 ₸,94 м²,"Казыбек би р-н, мкр Юго-Восток, Б. Ашимова 17",3,2/10,3-комнатная квартира · 94 м² · 2/10 этаж,Other
2-комнатная квартира,42000000 ₸,52 м²,"Ауэзовский р-н, мкр №2",2,5/10,2-комнатная квартира · 52 м² · 5/10 этаж,Other
3-комнатная квартира,28500000 ₸,70 м²,"Казыбек би р-н, мкр Юго-Восток, Букетова 3/3",3,11/13,3-комнатная квартира · 70 м² · 11/13 этаж,Other
2-комнатная квартира,48000000 ₸,61 м²,"Бостандыкский р-н, проспект Абая 202 — Тлендиева",2,2/8,2-комнатная квартира · 61 м² · 2/8 этаж,Other
1-комнатная квартира,17800000 ₸,42 м²,"Алматы р-н, Трасса Астана-Караганда 23 — На Карагандинской трассе, напротив Метро",1,4/9,1-комнатная квартира · 42 м² · 4/9 этаж,Other
1-комнатная квартира,22990000 ₸,38 м²,"Есильский р-н, Бухаржырау 42 — Аль Фараби",1,3/10,1-комнатная квартира · 38 м² · 3/10 этаж,Other
2-комнатная квартира,43000000 ₸,55 м²,"мкр Ак Шагала, Мкр. Ак Шагала",2,2/4,2-комнатная квартира · 55 м² · 2/4 этаж,Other
1-комнатная квартира,16500000 ₸,40.9 м²,"Сарыарка р-н, Потанина 3/2",1,8/10,1-комнатная квартира · 40.9 м² · 8/10 этаж,Other
3-комнатная квартира,19200000 ₸,62 м²,Космическая 16,3,2/5,3-комнатная квартира · 62 м² · 2/5 этаж,Other
3-комнатная квартира,30000000 ₸,84 м²,Акан Сери 45/1,3,2/9,3-комнатная квартира · 84 м² · 2/9 этаж,Other
3-комнатная квартира,46000000 ₸,61.9 м²,"Бостандыкский р-н, мкр Алмагуль 277",3,1/5,3-комнатная квартира · 61.9 м² · 1/5 этаж,Other
2-комнатная квартира,30000000 ₸,70 м²,"Нура р-н, Қорғалжын 25 — Small,ұлттық ұлан ,қазақ бизнес технологии университеті",2,14/18,2-комнатная квартира · 70 м² · 14/18 этаж,Other
3-комнатная квартира,21999000 ₸,62 м²,"Массив Карасу 38 — Односторонка, рядом  ресторан Аксарай",3,2/5,3-комнатная квартира · 62 м² · 2/5 этаж,Other
2-комнатная квартира,27000000 ₸,60 м²,"Алматы р-н, Жубанова 27 — абая Жубанова",2,6/12,2-комнатная квартира · 60 м² · 6/12 этаж,Other
1-комнатная квартира,13500000 ₸,38 м²,"Ульбинский, Бульвар Гагарина 24",1,3/9,1-комнатная квартира · 38 м² · 3/9 этаж,Other
2-комнатная квартира,35500000 ₸,47 м²,"Нура р-н, E15",2,4/9,2-комнатная квартира · 47 м² · 4/9 этаж,Other
2-комнатная квартира,23500000 ₸,44 м²,"Казыбек би р-н, мкр Новый Город, мкр Новый Город ул. Анжерская 41",2,9/10,2-комнатная квартира · 44 м² · 9/10 этаж,Other
2-комнатная квартира,20000000 ₸,66 м²,28-й мкр 49 — Возле Рауан,2,9/9,2-комнатная квартира · 66 м² · 9/9 этаж,Other
2-комнатная квартира,37000000 ₸,70 м²,"Есильский р-н, Сарайшык 5 — Сарайшык",2,3/23,2-комнатная квартира · 70 м² · 3/23 этаж,Other
2-комнатная квартира,36000000 ₸,77 м²,"Каратауский р-н, мкр Нурсат 2, проспект Н.Назарбаева 20 — Спорткомплекс художественной гимнастики",2,5/9,2-комнатная квартира · 77 м² · 5/9 этаж,Other
3-комнатная квартира,70900000 ₸,81.6 м²,"Бостандыкский р-н, 16улица 4",3,3/3,3-комнатная квартира · 81.6 м² · 3/3 этаж,Other
2-комнатная квартира,42500000 ₸,60 м²,"Есильский р-н, Фариза Онгарсынова 8/2",2,7/9,2-комнатная квартира · 60 м² · 7/9 этаж,Other
2-комнатная квартира,25800000 ₸,63 м²,"Абайский р-н, мкр Акжайык, Толеметова 69/36",2,7/7,2-комнатная квартира · 63 м² · 7/7 этаж,Other
4-комнатная квартира,280000000 ₸,160 м²,"Медеуский р-н, Фурманова 301",4,5/6,4-комнатная квартира · 160 м² · 5/6 этаж,Other
3-комнатная квартира,39800000 ₸,65 м²,"Ауэзовский р-н, мкр Аксай-3 11 — Момышулы",3,2/5,3-комнатная квартира · 65 м² · 2/5 этаж,Other
2-комнатная квартира,15000000 ₸,57.2 м²,31Б мкр 19,2,1/6,2-комнатная квартира · 57.2 м² · 1/6 этаж,Other
2-комнатная квартира,15300000 ₸,44.4 м²,Шаяхметова 165,2,5/5,2-комнатная квартира · 44.4 м² · 5/5 этаж,Other
3-комнатная квартира,34500000 ₸,79.5 м²,Дружбы народов 2/5,3,5/5,3-комнатная квартира · 79.5 м² · 5/5 этаж,Other
2-комнатная квартира,25900000 ₸,64 м²,"Алматы р-н, Момышулы 7",2,17/24,2-комнатная квартира · 64 м² · 17/24 этаж,Other
2-комнатная квартира,29900000 ₸,43 м²,"Нура р-н, Е-36 4 — Сыганак",2,6/9,2-комнатная квартира · 43 м² · 6/9 этаж,Other
